"類型","","遊憩據點","","107年1月","107年2月","107年3月","107年4月","107年5月","107年6月","107年7月","107年8月","107年9月","107年10月","107年11月","107年12月","108年1月","108年2月","108年3月","108年4月","108年5月","108年6月","108年7月","108年8月","108年9月","108年10月","108年11月","108年12月","109年1月","109年2月","109年3月","109年4月","109年5月","109年6月","109年7月","109年8月","109年9月","109年10月","109年11月","109年12月","110年1月","110年2月","110年3月","110年4月","110年5月","110年6月","110年7月","110年8月","110年9月","110年10月","110年11月","110年12月","111年1月","111年2月","111年3月","111年4月","111年5月","111年6月","111年7月","111年8月","111年9月","111年10月","111年11月","111年12月","小計"
"國家級風景特定區","National Scenic Areas","圓潭自然生態園區","Yuantan Ecological Park","8494","12096","16737","25482","16866","10271","14073","8691","10967","11840","9723","10530","7643","15340","17156","21802","15643","12421","10828","9323","13002","14511","9498","7787","12429","9691","19962","21434","15590","16589","17820","15122","10572","19416","11301","10656","11578","16617","24094","21714","7621","0","0","1429","6049","8928","8728","6575","3890","11570","18057","12727","1738","4925","10553","9063","8281","8617","6018","6880","706958"
"國家級風景特定區","National Scenic Areas","達娜伊谷","Danayigu","23198","24364","25434","31005","27255","26048","28649","21834","20165","24933","21717","23301","20047","23644","38801","41940","53060","38448","31732","27939","12450","17345","17250","14964","8711","5973","3645","4133","4913","7665","11566","13005","12303","14475","15839","12449","7337","9038","9238","11116","4145","0","0","1567","4602","9546","11939","9866","5295","7273","6786","6941","2216","4635","11304","10928","7617","8716","7835","7244","915384"
"國家級風景特定區","National Scenic Areas","觸口遊客中心","Chukou Visitor Center","6052","7145","6755","7399","6962","6157","7015","8039","6958","8076","6259","12398","8018","8453","8647","8223","7665","8216","9685","7517","5769","5197","4581","4352","5054","4561","4713","3486","3921","5834","7893","7484","4479","5375","3982","2708","3987","6105","5642","8498","3689","0","704","2437","3180","4426","4175","4311","3557","5185","3998","3329","2525","3430","5116","5195","4331","3940","2493","2271","327552"
"國家級風景特定區","National Scenic Areas","梅山太平雲梯","Taiping suspension bridge","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43531","40968","30990","31109","29523","47264","44266","51427","41214","80057","60582","54919","58234","82493","49151","50110","19133","0","4910","7806","32537","55175","53180","49151","37395","69302","38624","37812","16186","25611","42201","43721","32288","48521","35659","38451","1483501"
"國家級風景特定區","National Scenic Areas","茂林遊憩區","Maolin District ","29277","12154","11870","10762","14387","18229","17423","16140","16545","12290","24666","35196","29957","37399","28122","15741","16803","28858","11166","10440","10209","17590","16828","40059","33764","32490","23509","57930","25625","29160","27860","24494","25240","30045","30384","42368","34907","34551","25851","26698","15864","0","9793","7582","14013","22996","32244","43813","36641","34241","23807","24252","21109","22833","29220","28200","29705","31854","34592","41815","1491561"
"國家級風景特定區","National Scenic Areas","寶來、不老溫泉區","Boalai and Bulao Hot Springs Area","32522","30475","15408","24348","13365","12029","11020","8243","8996","12863","14615","19854","18225","23473","20585","16604","18759","19474","17005","15968","19062","23052","22614","47561","41305","30628","28041","24038","25102","22737","23783","22690","21847","26502","26479","36412","43455","45502","39304","35920","28664","560","1185","21304","31812","31170","25734","43917","53285","44973","37256","44240","34312","29968","51818","38873","29053","30559","34869","51880","1625297"
"國家級風景特定區","National Scenic Areas","臺灣原住民文化園區","Taiwan Indigenous Peoples Culture Park","19745","36954","36259","49114","29226","26614","34730","33821","38189","39274","24283","24392","26819","36954","42547","33313","33070","18403","22659","26029","49851","44463","33270","18967","35437","26820","19888","8391","9840","10041","12056","11308","9322","19229","14403","14345","14373","29034","20951","18169","6477","0","492","2646","10192","16208","17718","17228","13137","29377","15411","11542","4704","5494","45747","11305","17371","18193","14353","18799","1328947"
"國家級風景特定區","National Scenic Areas","霧臺遊憩區","Wutai Recreation Area","17729","23661","23122","24119","22283","12748","14771","9053","13167","17534","16798","23639","22468","29136","26308","22187","11539","14512","10994","7328","17712","20580","21464","18115","27186","36838","27555","17314","16591","19333","16465","14855","17611","25958","20315","20685","28408","24999","30507","29273","10854","265","997","5047","11280","13128","17257","16847","16892","19521","21898","20371","8866","19536","13052","12775","10336","12754","14182","14321","1075039"
"國家級風景特定區","National Scenic Areas","涼山遊憩區","Liangshan Recreation Area","6806","10558","8094","20904","16253","8557","13310","8740","10393","14297","11977","16191","8007","16964","10229","11726","8179","12474","7693","4951","12612","15299","9865","8597","10417","14032","15011","17855","11090","20055","17053","13631","11157","21796","15519","13090","13989","24268","12381","12147","4754","0","1886","3296","10124","15614","12887","11929","8338","17344","8207","11109","5485","10366","11800","9096","7114","9181","9300","8679","692676"
"國家級風景特定區","National Scenic Areas","禮納里部落","Rinari Tribal Village","0","0","0","0","0","0","0","0","0","0","0","0","2427","3823","5216","3741","2484","2640","2035","1382","1814","2237","1938","2232","2911","5658","4839","3683","3039","4635","3503","4054","3878","5827","2898","4519","5861","5627","6257","6011","1772","0","155","827","2298","5288","3908","5408","3924","5642","3442","2996","1376","2227","2947","4321","3501","14223","7291","3513","180228"
"國家級風景特定區","National Scenic Areas","野柳地質公園","Yehliu Geopark ","217858","202105","214484","228974","206286","177585","174444","190446","162482","229725","221704","212855","199161","214635","262258","273391","257368","215716","214583","208912","150507","232010","234254","217275","201897","51323","24866","22313","31469","39778","41086","48400","35251","70032","51687","24565","28293","42984","28053","48289","19068","0","1307","22668","24422","34677","37449","31489","17443","21712","28577","46762","13861","23215","38105","40949","29693","36878","46510","51638","6475727"
"國家級風景特定區","National Scenic Areas","白沙灣","Baishawan","22344","29698","57986","93304","124862","140689","166813","132082","143289","62359","50250","34313","20886","28860","35505","69305","88343","141474","199395","151585","110704","107464","36219","23557","27412","36938","55382","58268","101138","124951","113617","100239","55092","59052","34437","27273","28795","53333","41263","60109","46701","7064","3014","44844","78580","64745","39381","26937","22898","28819","50078","70235","56801","81944","90357","67457","48062","49746","41932","22361","3990541"
"國家級風景特定區","National Scenic Areas","翡翠灣濱海遊憩區","Green Bay","2214","3421","2543","3267","2227","2952","3721","4070","4453","5035","5996","5265","11272","14060","15997","14893","13465","13386","14704","15743","10061","12746","13047","12921","9770","3759","1558","1204","128","238","144","180","191","1346","3520","3502","1006","1662","532","1362","260","90","351","1327","1314","2086","2053","2016","1056","1320","2006","1845","608","2022","4100","3933","2362","3015","2424","2606","274355"
"國家級風景特定區","National Scenic Areas","觀音山","Guanyinshan","73259","61936","80733","86314","86016","86260","87605","79103","79140","90148","79586","112853","80120","65483","79927","86301","86733","97010","100265","91084","76488","94278","82218","90365","80650","67849","78182","86305","90000","96014","106301","88169","72236","87234","73000","70040","85907","71498","80024","91307","61112","11806","16445","47052","61949","68960","64753","54238","56008","64705","95138","106891","42867","98006","112423","105573","73326","78242","96543","54330","4728308"
"國家級風景特定區","National Scenic Areas","七股鹽山園區","Cigu Salt Mountain Recreational Area","52438","95002","51559","72686","36430","30855","53581","41876","35366","45915","42768","65218","55901","107791","57149","53383","34197","43553","50628","35053","40099","55682","49606","46885","76027","54764","30681","30796","23458","37040","40170","53627","33114","59359","43400","42949","59509","89558","43809","53024","19063","0","3306","19648","27379","46702","42265","44088","35968","71922","32599","30950","13215","20759","48789","40568","31690","39630","33407","34654","2661508"
"國家級風景特定區","National Scenic Areas","北門遊客中心","Beimen Visitor Center","24005","38643","22888","34875","19332","18786","21235","16632","16597","24387","26856","46088","21672","66637","37599","36513","24995","28191","21181","18727","25176","37294","33265","31975","41679","21601","16444","17187","16675","23515","22009","23958","24057","48789","32772","27490","26530","51417","32134","31413","13197","272","1431","8628","16202","30926","33422","37741","28171","40496","36591","30526","14892","19510","38425","30960","39011","53618","60029","59179","1744446"
"國家級風景特定區","National Scenic Areas","井仔腳瓦盤鹽田","Jingzaijiao Tile-paved","19142","25100","21104","25539","17215","15784","17077","12386","15722","21540","22410","31168","17328","25826","21678","21282","16551","23716","21609","20215","20172","25324","24973","23939","31818","22649","7526","955","11379","17184","15947","18337","16282","21827","15829","14316","12895","20146","12593","15867","7881","0","4162","8984","15126","27230","35487","36432","24843","45528","36483","28278","12983","17768","91205","47381","34066","38277","40902","37213","1352579"
"國家級風景特定區","National Scenic Areas","情人湖及湖海灣","Lovers Lake & Huhai Bay","41185","48820","78057","97437","88680","80603","113254","85221","100964","99016","79792","92838","44473","51789","74036","79895","76588","78656","81724","81159","90425","100008","68577","55587","39164","50095","61218","57662","63360","56824","59504","64403","54001","61258","46763","35114","50197","73410","63989","75922","59655","15832","9589","33516","70406","61401","51541","50969","44313","38665","61632","62686","45756","59294","71261","64366","67576","49493","49080","28275","3796974"
"國家級風景特定區","National Scenic Areas","柳營尖山埤渡假村","Liuying Jianshanpi Resort","18670","22671","23732","31522","30547","21234","21635","15120","24762","32479","27984","31187","18961","27071","23546","28142","23706","18759","18624","12720","26918","29865","30130","26107","27331","9593","13666","7745","6611","13708","18883","22421","30733","29047","28552","28341","18751","18162","21709","21606","6797","2402","4651","5473","10684","13062","19452","18390","12372","15086","14973","13001","4336","5518","14033","16564","24490","20296","12849","15594","1152974"
"國家級風景特定區","National Scenic Areas","曾文水庫","Zengwun Dam","15113","21861","15863","24274","19685","18098","19422","16739","23115","22887","27927","29510","11943","28290","18948","19358","16214","18044","20743","24757","19154","29431","22126","42565","8940","29584","18071","18609","17118","18849","29782","32669","28505","33076","25648","39572","16324","35959","26332","25886","18581","1553","5642","17256","25928","23964","28639","49734","13802","36878","25697","26113","12684","17931","29667","30605","27493","28291","29930","38136","1419515"
"國家級風景特定區","National Scenic Areas","烏山頭水庫風景區","Wu Shan Tou Reservoir","6773","19335","16156","27712","28822","23122","29832","20786","15659","20706","14839","25395","6502","20999","20963","19226","19978","27742","20718","16466","6502","21647","33925","24260","10239","14916","40278","21778","9990","11969","46911","44107","24366","30880","21429","27664","8228","31576","15199","15450","22238","2630","1891","6431","9810","12040","17425","25596","28988","31420","18081","25486","16278","15606","29641","26094","23307","31239","24201","34431","1265878"
"國家級風景特定區","National Scenic Areas","關子嶺溫泉區","Guan Zih Ling Hot Spring  Area","151119","154351","84400","66268","58534","59874","61443","65566","75946","108694","132586","159604","153800","198813","107315","57423","80702","70017","73015","73758","80926","71574","69134","143896","180682","64485","56659","79367","64957","70482","60057","69435","71232","88557","82102","76617","110025","152563","128216","126161","69861","14804","25180","28236","76296","101960","102529","133041","126061","140292","127631","182513","165388","162300","158082","142314","167675","183042","149105","84027","6180692"
"國家級風景特定區","National Scenic Areas","虎頭埤風景區","Hutoubei Scenic Area","26786","31683","26860","36303","35314","25892","24287","17921","28672","29595","27542","33073","25732","36529","25791","26608","27766","28186","20435","16813","26108","35328","29483","24422","31398","31341","35336","29758","31214","34586","27314","25006","28618","38299","32757","31495","27913","40416","30957","29620","20222","0","7004","12710","17615","26379","29954","30607","25861","43699","29544","31688","26779","28912","28001","23220","25933","35302","32575","34528","1683690"
"國家級風景特定區","National Scenic Areas","馬沙溝濱海遊憩區","Mashagou Coastal Recreation Area","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6241","6502","4542","1946","2053","440","322","289","58","0","0","908","0","0","1162","2814","3120","36","45","47","24","616","148","698","2866","6561","2235","1075","70","85","26","44929"
"國家級風景特定區","National Scenic Areas","野柳海洋世界","Ocean World","5481","12798","12494","22040","15564","15229","23180","23800","14571","18560","11851","10730","7522","14735","13054","21127","13427","14836","21027","20760","15369","23421","17882","11672","9930","5473","4523","3925","6288","13423","26036","35216","12343","20989","14071","6867","7472","13015","8411","16765","7096","0","298","6925","6286","12154","11396","10874","5449","10807","9180","9089","3220","8921","29592","43620","16760","22390","16010","11134","827078"
"國家級風景特定區","National Scenic Areas","金山遊憩區","JinShan Tourist Site","23967","14846","27575","31454","30997","22357","24732","28461","28061","22968","27455","20224","11216","27614","32664","49421","43923","38658","35669","34915","43470","59788","46784","37025","39103","45769","54740","51497","87189","94671","107521","116309","81786","80838","57468","29927","42308","52152","49321","54130","31443","1456","4243","21109","35011","39404","22917","19856","12958","26788","45652","36591","19545","27081","34882","34892","36987","34244","32242","22790","2349064"
"國家級風景特定區","National Scenic Areas","三芝遊憩區","SanZhi  tourist site","20378","13261","44503","51518","47633","44324","53568","40904","35615","34428","27132","23144","15946","25931","37552","41618","36768","32569","37133","31152","31313","28477","33573","16137","29790","35074","36332","32485","45544","39013","36054","33220","23400","31261","32891","13375","13846","28600","25607","36256","19545","3621","3989","19079","38730","35944","25545","20807","17342","36784","53466","49493","36820","49287","51749","47784","34851","35586","30300","20837","1928884"
"國家級風景特定區","National Scenic Areas","和平島公園","Hepingdao Park","14837","26087","28992","49741","40353","51249","75571","88903","58238","58456","46868","38006","21597","39645","41458","53800","47849","56222","54993","60850","61589","75670","52931","39880","30737","20794","22157","24544","54292","75459","76066","86609","53715","73209","43693","20163","25947","48605","34275","51344","26855","0","7087","40784","49818","42165","28712","22135","15203","19811","30042","22005","17196","50305","94936","72093","46015","38689","30000","16040","2595285"
"國家級風景特定區","National Scenic Areas","水往上流遊憩區","Water Running Upward","32387","49497","37698","61069","39131","32798","40740","42170","26242","31632","33008","52667","33433","52846","52376","52342","49117","48527","47293","45632","28595","42502","41039","38521","58783","28451","13034","16338","15444","30961","40083","62880","33005","49937","36161","38583","41405","57139","15639","29013","9983","0","422","9578","8423","12437","17687","18863","11161","27633","8766","13262","5610","6003","15235","14584","13424","10647","19701","76865","1878402"
"國家級風景特定區","National Scenic Areas","中埔遊客中心","Zhongpu Visitor Center","7152","8953","6835","9038","6415","5200","6516","4657","4574","6177","4721","8726","5452","8728","7817","8881","5314","5791","6556","4220","5508","7335","7848","5750","5653","4102","3424","3786","3570","5224","5571","5884","4319","7269","4373","4806","3992","4920","3687","4080","1857","0","107","1744","2843","3886","3584","4083","2589","4746","3556","4050","2609","2317","3469","3517","3528","4597","3334","3308","292548"
"國家級風景特定區","National Scenic Areas","三地門遊憩區","Sandimen Recreation Area","28887","46640","31011","44313","24603","16145","21670","14213","15857","20199","20000","31720","18394","226525","89450","94069","41676","43763","56129","51801","40517","37871","37450","36835","44402","54018","44059","35804","46345","39249","45389","52398","40347","41554","38031","40693","35277","44787","34708","33729","31281","225","8716","29092","29234","33028","28734","30026","28668","38728","31668","34677","31794","29256","31437","34099","27943","32741","32240","13859","2317974"
"國家級風景特定區","National Scenic Areas","布袋海景公園","Budai Seascape Park","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19817","29544","17330","17008","5285","8848","17293","16050","18604","26473","19362","19461","215075"
"國家級風景特定區","National Scenic Areas","赤科山","Chike Mountain","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22028","20470","16775","20005","12823","23472","28606","105827","86321","2221","2552","2812","343912"
"國家級風景特定區","National Scenic Areas","六十石山","Liushishi Mountain ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51454","47145","33613","32151","90977","37096","41610","107235","141099","10840","7032","9163","609415"
"直轄市及縣(市)級風景特定區","Municipal-level and County-level Scenic Area","烏來風景特定區","Wulai Special Scenic Area","182000","280700","198850","213000","141500","158000","163000","151700","146500","171000","140500","143000","182500","310000","199000","215000","142400","158600","163500","153000","148000","189000","143500","143200","183000","170000","60000","65000","72000","99000","101500","113000","115000","125000","122000","91000","110000","192000","90000","108000","48000","1860","16300","33000","94000","105000","95000","96000","122000","195000","105000","90000","60000","90000","115200","136000","112000","108000","96000","99000","7871310"
"直轄市及縣(市)級風景特定區","Municipal-level and County-level Scenic Area","碧潭風景特定區","Bitan Special Scenic Area","208400","217000","239400","240800","124000","167700","141700","102100","100000","166500","158100","234000","208500","229000","239500","242000","127000","168900","143000","110000","117200","205000","167000","234100","209000","162000","85000","90000","66000","107000","103000","80000","104000","139000","128000","113000","90000","143000","175000","201000","95000","6900","21000","45000","76000","78000","75000","86000","150000","210000","206000","178890","234000","204000","244800","274000","125000","115000","100000","96000","8906490"
"直轄市及縣(市)級風景特定區","Municipal-level and County-level Scenic Area","武荖坑風景區","Wulaokeng Scenic Area","2879","1506","3484","4218","5585","5085","21276","25698","9738","4400","5029","2301","1088","2388","2002","4140","4964","7405","16177","11463","6713","6994","2619","1357","2018","1658","9523","50233","21619","11041","25421","26578","7936","8147","2214","1041","1355","2082","47915","301159","118540","0","237","3649","3494","2923","1905","2330","1016","1555","1457","1758","1305","4303","15505","14199","4091","2772","1540","1678","862706"
"直轄市及縣(市)級風景特定區","Municipal-level and County-level Scenic Area","石門水庫風景區","Shihmen Reservoir","118867","110786","106203","117153","127036","151575","140518","97453","83860","148971","115022","148304","101234","107316","87980","103796","100780","164964","88092","87340","77924","123061","116244","135637","237802","259500","276000","298731","330829","265779","286097","275662","188262","320588","268768","192373","229841","266279","200364","179814","178754","97183","185361","258848","250392","283301","275740","290712","187776","208227","228124","360907","228993","487495","253985","227894","216181","263662","278566","224461","11823367"
"直轄市及縣(市)級風景特定區","Municipal-level and County-level Scenic Area","角板山遊憩區","Jiaobanshan Resort","72254","31969","41640","46738","37563","31268","38494","28478","19770","27834","22248","26312","47380","34636","23901","24624","23445","27335","29931","20687","21318","27004","21108","19070","125186","79807","64962","67713","80390","87254","117065","89544","49210","78842","62341","36657","142989","75068","49182","50842","65972","48687","82573","83704","95332","103356","96789","119441","140485","102026","93958","104551","78610","116151","179144","138306","82103","92093","102101","85400","4012841"
"直轄市及縣(市)級風景特定區","Municipal-level and County-level Scenic Area","虎頭山風景特定區","Houtou Mountain Scenic Area","176960","202480","255800","248100","226400","197460","218000","213900","168100","195800","158200","148780","151580","154200","155340","178810","173420","151104","169260","163600","120140","154111","175280","213167","240556","239018","287843","263424","283542","268767","305962","272826","126036","354934","344228","216779","265816","265065","280896","326064","181982","133065","163917","183735","211755","241136","249381","259029","223554","218589","290109","272078","204743","263359","342578","304404","279312","296538","364557","253169","13648738"
"直轄市及縣(市)級風景特定區","Municipal-level and County-level Scenic Area","冬山河親水公園","Dongshan River Water Park","7359","12675","17455","24991","14733","41753","207109","203785","11007","15873","11942","10782","8859","16984","13849","13194","13158","26749","270030","243563","10549","21009","13255","11300","19169","12751","8694","9103","9417","12655","108179","119337","9228","19329","9327","6100","9644","21833","13508","17486","5791","0","1012","12916","12969","13165","13103","11953","10243","13296","12294","13176","7564","7468","261600","155144","10422","10810","8785","7614","2237048"
"直轄市及縣(市)級風景特定區","Municipal-level and County-level Scenic Area","五峰旗風景區","Wufongci Waterfall","31843","40955","54783","69595","68255","66170","97945","63015","45870","42145","53985","49009","38132","41201","46385","41685","54885","63150","73789","56371","53531","73181","74913","58964","43524","38976","44815","34855","51795","88399","111145","115102","98215","92627","79453","45512","58298","59192","78095","64336","20495","0","775","20803","26066","25348","32314","31779","20828","16976","29363","26242","10134","19346","40434","40894","26601","27183","32858","27101","2939636"
"直轄市及縣(市)級風景特定區","Municipal-level and County-level Scenic Area","龍潭湖","Longtan Lake","29973","31104","49905","65789","60588","49860","48741","43579","41785","48249","45338","45712","32820","39397","40970","35727","37486","33976","25614","20907","28607","41062","37036","31938","36669","27393","19207","18350","15692","23093","24549","222974","25006","40518","28611","20559","23952","26118","24274","23376","7604","0","432","10422","11250","14256","22808","27138","17296","14277","16624","13316","6152","5990","6632","7576","7854","10530","13002","12292","1791955"
"直轄市及縣(市)級風景特定區","Municipal-level and County-level Scenic Area","冬山河生態綠舟","Dongshan Rivere-coark","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14817","20820","18603","22219","9919","0","399","11662","12502","19038","27666","30706","19228","6555","48881","169221","26269","7358","20547","25606","21473","19456","19664","17932","590541"
"直轄市及縣(市)級風景特定區","Municipal-level and County-level Scenic Area","七星潭風景區","Chishingtarn Scenic Area","88138","36655","83439","93800","90100","91405","108521","102991","88560","86102","95817","97093","111339","125314","87087","87211","77972","87735","166690","111204","83177","86867","80902","80345","137816","63635","41441","43770","39465","65042","67902","65908","52120","61029","44925","48413","73201","90775","53161","36975","17762","0","5724","36446","50160","33071","22239","33394","30168","62843","43689","39734","28818","49894","46028","44954","44659","37039","30080","30525","3921269"
"直轄市及縣(市)級風景特定區","Municipal-level and County-level Scenic Area","小烏來風景特定區","Siaowulai Scenic Area","18512","26160","31740","37552","28666","29806","47244","32516","21274","24930","21396","19544","14480","28682","21222","22190","18136","31726","40452","29730","20128","32442","24962","16762","25427","31311","26901","30305","38129","53448","69113","63248","33432","47267","35937","17536","22779","26891","22987","24217","26308","16329","22030","32128","39401","43320","40683","39930","28465","31822","36418","34743","27125","46880","95285","71399","41528","42282","45379","35853","2006488"
"直轄市及縣(市)級風景特定區","Municipal-level and County-level Scenic Area","鐵砧山","Tiehchenshan Mountain Recreation Area","23958","27562","25683","26188","26339","33400","35314","39576","67180","67416","49728","17721","21635","24498","25835","27920","28028","34686","78773","53816","71127","49096","28360","25147","39978","25663","23836","28083","28175","34753","34550","54880","74468","112435","118220","87545","61680","111959","53910","49440","15779","0","3064","10812","5653","7282","10561","7383","19116","27322","25444","24837","17649","16200","22119","20334","20879","21491","19162","16397","2160045"
"直轄市及縣(市)級風景特定區","Municipal-level and County-level Scenic Area","東埔溫泉","Dongpu Hot Springs","11330","11043","15600","21347","19467","12495","23335","20062","11414","19236","18946","12219","11036","10126","13115","16492","18337","12149","21277","17301","14515","30142","16090","9912","12243","14753","4949","11742","11054","19593","25471","24926","18501","36561","29130","12051","15834","18270","14228","25816","8505","744","1443","4518","15120","29936","20878","15015","14571","16940","16870","16387","5243","6808","25193","26586","16789","17273","24826","10710","976463"
"直轄市及縣(市)級風景特定區","Municipal-level and County-level Scenic Area","蘭潭","Lantan","123489","144106","101785","108753","106348","104382","116423","118372","127300","125432","124527","142538","123788","126802","102468","106432","106839","104567","115963","117100","125230","125300","134489","155941","105220","88762","70911","66874","81259","115690","120042","117955","163129","121011","124108","148101","106109","125710","103500","113754","81259","18123","17958","77431","112314","133211","135174","185371","143537","133147","118875","76541","57431","99345","112335","131185","113427","134337","142338","177432","6861280"
"直轄市及縣(市)級風景特定區","Municipal-level and County-level Scenic Area","瑞芳風景特定區","Ruifang Special Scenic Area","406000","605000","433700","407200","347800","349500","389200","424800","355000","464000","485300","360000","406500","669000","454800","408000","348000","349700","391000","426000","356500","465000","488000","362000","407000","350000","156000","100000","174000","205000","212000","260000","250000","290000","275000","225000","196000","315000","207000","219000","90000","7000","35000","76000","203000","210000","183000","169000","193000","281000","218000","248000","195000","235000","235000","375000","273000","245000","300000","276000","18040000"
"直轄市及縣(市)級風景特定區","Municipal-level and County-level Scenic Area","台東森林公園","Taitung Forest Park","0","0","0","0","0","0","0","0","0","0","0","0","28839","40659","42300","35039","19422","18157","33393","62591","17875","28709","27296","24582","34965","28454","13482","14330","9948","23000","37937","146279","31262","41053","38707","24727","29951","40156","21176","48251","9543","0","9240","13306","13026","19655","28088","27528","25685","33318","21801","23944","6796","11293","27474","26051","20450","58379","17552","21083","1376752"
"森林遊樂區","Forest Recreation Areas","池南國家森林遊樂區","Chihnan National Forest Recreation Area","1709","1373","2925","4418","2599","2122","2565","2296","2218","2838","2846","3515","1705","2777","1997","3619","3227","1306","3068","2300","1578","2291","3705","2344","2370","1638","1242","1453","2073","2063","4039","4427","3043","5378","4527","3266","2117","2902","2166","4795","1955","4","582","1981","1484","2114","3995","3198","3230","3848","4102","3425","2393","1683","3791","3758","3794","2620","3768","2686","163251"
"森林遊樂區","Forest Recreation Areas","富源國家森林遊樂區","Fuyuan National Forest Recreation Area","2276","3511","1870","4118","2258","2564","3095","3589","2428","2414","2446","4541","2673","5287","3101","3648","2495","3074","2500","2673","2417","4156","3679","5208","6172","4935","2181","2345","2607","3554","5124","6165","5283","6819","6829","8107","7202","5203","3725","3541","1877","0","444","1659","1732","3169","3824","5128","3444","3195","2561","2155","673","1754","3701","3234","2413","3695","4717","5608","210796"
"森林遊樂區","Forest Recreation Areas","阿里山國家森林遊樂區","Alishan National Forest Recreation Area","104508","126051","221494","178774","102682","87411","105558","103696","75589","108470","103911","126392","99008","135638","215829","164040","84378","100453","122941","87437","66669","91963","94387","90533","76019","88589","122398","36342","28431","63872","107941","119242","78908","105039","82706","87493","52727","85471","141627","76268","21973","888","6197","23208","36487","55675","63951","74520","63472","71524","102551","77248","31503","47932","85717","87576","56963","70105","65726","81190","5275291"
"森林遊樂區","Forest Recreation Areas","墾丁國家森林遊樂區","Kenting National Forest Recreation Area","11270","16166","11983","15280","9340","6498","10056","6165","8593","10704","10799","19022","14279","17180","12754","14653","10385","8477","9898","7027","9678","15195","14264","12427","14697","10345","5776","5972","4327","9327","14654","14566","13813","20204","16757","18387","13531","19606","12610","15156","7004","0","1251","5675","8286","9658","17397","20901","14686","16437","17104","12602","13036","7724","18350","16243","12203","17335","14666","16150","738529"
"森林遊樂區","Forest Recreation Areas","滿月圓國家森林遊樂區","Manyueyuan National Forest Recreation Area","8336","9854","14639","17426","20506","16180","22910","16608","12855","15634","13329","12790","8036","14019","14453","16395","15891","21377","26447","19401","18566","25506","20101","15570","11017","20161","18400","17153","24820","35479","43207","44320","26414","35492","26014","18744","17052","20420","17754","24288","11176","0","10462","19599","24839","22420","15762","17367","10693","10023","17942","14566","10452","20228","34908","30604","16760","14792","20164","11912","1132233"
"森林遊樂區","Forest Recreation Areas","內洞國家森林遊樂區","Neidong National Forest Recreation Area","0","0","0","0","0","0","0","0","24151","39050","28334","23440","14937","23962","20500","22618","17594","22334","29631","20775","18477","28501","21845","17881","14469","20156","18254","14433","19706","28256","31870","30985","18592","28180","21690","11191","18032","25683","17862","21365","10669","0","1074","16771","21710","17149","12265","10528","8659","10556","15935","15958","10250","19328","29295","26516","12479","11058","14702","8793","988449"
"森林遊樂區","Forest Recreation Areas","太平山國家森林遊樂區","Taipingshan National Forest Recreation Area","26401","44771","23459","35012","33296","33695","51986","49047","38252","54011","50309","55175","31038","46912","36808","35019","33153","46025","62901","44072","39403","57711","54864","37881","35925","40955","20117","21455","27116","43761","70687","91646","50013","78612","73648","54960","71200","59841","41128","44353","18393","718","1766","16937","20815","27072","52599","58012","45653","46134","36794","31395","24614","25178","70750","79987","41026","28181","40589","45424","2558655"
"森林遊樂區","Forest Recreation Areas","棲蘭森林遊樂區","Cilan Forest Recreation Area","5913","8389","7466","10797","8328","10650","14051","14071","8438","9774","9104","10237","6191","13613","9181","8551","8568","10154","17212","10038","9376","11839","9946","7256","7129","9134","3658","3197","4757","9352","15012","15578","10645","13596","10964","7397","7344","10818","6427","6932","3349","0","845","4790","4805","6261","9290","7872","6694","9012","5831","4236","1581","5004","11848","11770","7684","4814","4502","4160","495431"
"森林遊樂區","Forest Recreation Areas","明池森林遊樂區","Mingchih Forest Recreation Area","6334","13614","10077","14137","13213","15781","26352","20601","12633","13119","17744","20471","9111","16313","12076","11671","9596","14244","19992","13968","12129","16054","15504","12416","9664","11063","5633","5499","8040","16400","20928","21846","12615","15953","18280","12880","12621","15768","10711","11692","4819","0","3536","11046","11547","11296","15561","16471","9508","11582","8628","6165","3475","9449","21328","19719","9684","4308","313","2864","738042"
