"類型","","遊憩據點","","107年1月","107年2月","107年3月","107年4月","107年5月","107年6月","107年7月","107年8月","107年9月","107年10月","107年11月","107年12月","108年1月","108年2月","108年3月","108年4月","108年5月","108年6月","108年7月","108年8月","108年9月","108年10月","108年11月","108年12月","109年1月","109年2月","109年3月","109年4月","109年5月","109年6月","109年7月","109年8月","109年9月","109年10月","109年11月","109年12月","110年1月","110年2月","110年3月","110年4月","110年5月","110年6月","110年7月","110年8月","110年9月","110年10月","110年11月","110年12月","111年1月","111年2月","111年3月","111年4月","111年5月","111年6月","111年7月","111年8月","111年9月","111年10月","111年11月","111年12月","小計"
"國家公園","National Parks","玉山管理處遊客服務中心","Headquarters Visitor Center","11857","8459","5983","8302","6585","6388","8756","8591","6803","6103","7703","2195","11190","11363","9086","8806","10814","9319","10718","9276","7502","9474","8179","9109","13130","6426","5554","5946","6291","8255","10560","14369","10399","15137","17943","13099","20647","12426","9732","11425","16145","0","122","1423","2624","4334","6729","7013","12002","4817","4805","3826","2427","2844","4013","3743","3565","4529","3810","5271","477942"
"國家公園","National Parks","排雲山莊","Paiyun Lodge","693","7","2912","5727","6222","5402","5837","5319","5457","6305","5404","5167","1987","3","3977","5544","5068","5870","5692","4385","6243","6903","6832","5620","2256","1090","3061","4707","4306","6707","6999","6828","6596","7631","7598","6497","3164","3574","5019","7271","3650","34","14","1420","2706","4269","4842","5533","3153","2940","4084","5989","3690","5133","6557","6387","4336","5561","5962","5479","277619"
"國家公園","National Parks","陽明山遊客中心","Yangmingshan Visitor Center","18832","52386","16896","15409","17161","52793","15355","15512","13055","16738","18460","20950","16358","34154","19223","22918","18408","20368","20841","21888","13500","17686","16880","15873","18936","14591","12992","9603","10249","12303","13064","10650","9458","9071","8622","5340","9087","10321","9338","11290","4219","0","175","835","1201","1127","1555","3309","4733","6628","7705","5146","3517","7594","14315","11911","7465","5787","6438","6593","786812"
"國家公園","National Parks","陽明書屋","Yangmingshuwu","1616","2745","2811","13045","11270","10926","6813","6009","11634","9339","7987","9317","8761","12488","2415","11296","10862","10557","13671","11650","7134","9475","10703","8483","8983","9847","8295","5819","6886","8747","9086","7959","5855","6569","5888","5376","4434","5299","4925","6117","2403","0","426","1252","1304","1449","2604","3162","3381","4017","4102","3701","2617","3996","4746","4770","3297","2896","3858","3078","378151"
"國家公園","National Parks","陽明公園","Yangming Park","8750","247131","891890","26500","23500","24400","15700","16060","14010","7630","9940","9480","10340","362770","616450","35100","28300","26400","14400","13300","13500","9800","9400","9300","63502","182033","395529","17600","10400","20600","15600","17800","15420","7380","10070","8690","14994","609339","572943","12322","3022","18052","9750","14460","13520","6308","5970","6622","202150","278450","544370","525003","219193","207641","296942","362586","203882","184476","330665","137314","7988649"
"國家公園","National Parks","大屯遊憩區","Datun Recreation Area","30588","52168","33536","47707","65776","83168","88858","89094","64101","65939","60155","45507","28853","76943","48256","58579","51847","45953","80894","53030","31455","47110","38052","7643","10671","34546","51122","41056","39395","53302","50177","49548","33624","34116","27592","21340","40652","31452","33538","40628","24208","2302","32925","33581","50740","36813","26333","21219","18989","12510","31139","38302","23947","36476","49299","42514","26437","23972","22245","17453","2459375"
"國家公園","National Parks","龍鳳谷遊憩區","Longfonggu Recreation Area","27405","45304","59814","160759","29675","23714","22649","22851","22109","21424","28537","33115","27659","53265","131849","133843","43516","82158","44290","41467","51423","33778","34252","36266","44468","35513","73930","41460","29453","28932","25854","28364","33624","45372","35417","32719","49719","48486","115274","120591","18098","2951","4898","18330","26895","38354","42257","34452","37981","60868","134428","126255","22051","20289","22630","22804","25921","26214","23908","28361","2738243"
"國家公園","National Parks","小油坑遊憩區","Xiaoyoukeng Recration Area","25298","38515","43575","46086","48112","32134","40787","36922","27528","34442","38472","36223","28108","40606","39406","44955","37215","45312","37499","33254","30628","45888","42434","43712","38537","26902","24238","19678","32599","42561","40692","33943","22520","38685","33943","16916","32288","29753","29314","35451","14230","471","4088","10417","19098","22511","18608","13781","11633","20692","24159","18898","8080","24259","34135","29833","15950","13388","10938","7264","1737564"
"國家公園","National Parks","冷水坑","Lengshuikeng","0","0","0","0","0","0","0","0","0","0","0","0","24167","44003","46344","45917","37508","54834","59303","67573","46038","58419","74151","59243","43952","46861","58151","28272","35572","45194","58141","49737","37474","53017","49737","36609","45076","37350","36986","53933","23061","2714","7777","19289","25368","25641","46195","38351","23806","24165","36458","33436","15970","36410","46164","42219","28492","32949","50599","29433","1922059"
"國家公園","National Parks","擎天崗","Qingtiangang","0","0","0","0","0","0","0","0","0","0","0","0","35287","37730","34293","47182","40755","50246","52741","43875","51621","80294","78972","56932","64208","74443","32642","34083","37021","52060","45108","48245","28382","47421","48245","26239","40270","49435","37515","45944","22426","827","7735","22205","23454","23454","31184","23673","21729","20132","30926","34801","16189","38108","51806","52038","32706","28482","39082","27559","1869705"
